,id,movie,year,time,rating,score,votes,gross,description,director,star,genre
967,967,The Others,2001,101 min,7.6,74        ,"353,873",$96.52M,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,Alejandro Amenábar,'Nicole Kidman' 'Christopher Eccleston' 'Fionnula Flanagan' 'Alakina Mann',"
Horror, Mystery, Thriller            "
283,283,Dead Poets Society,1989,128 min,8.1,79        ,"455,992",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Peter Weir,'Robin Williams' 'Robert Sean Leonard' 'Ethan Hawke' 'Josh Charles',"
Comedy, Drama            "
618,618,Star Wars: Episode VII - The Force Awakens,2015,138 min,7.8,80        ,"892,297",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",J.J. Abrams,'Daisy Ridley' 'John Boyega' 'Oscar Isaac' 'Domhnall Gleeson',"
Action, Adventure, Sci-Fi            "
579,579,The Ten Commandments,1956,220 min,7.9,****,"67,752",$93.74M,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",Cecil B. DeMille,'Charlton Heston' 'Yul Brynner' 'Anne Baxter' 'Edward G. Robinson',"
Adventure, Drama, Family            "
646,646,The Fighter,I 2010,116 min,7.8,79        ,"354,108",$93.62M,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",David O. Russell,'Mark Wahlberg' 'Christian Bale' 'Amy Adams' 'Melissa Leo',"
Biography, Drama, Sport            "
980,980,When Harry Met Sally...,1989,95 min,7.6,76        ,"207,938",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",Rob Reiner,'Billy Crystal' 'Meg Ryan' 'Carrie Fisher' 'Bruno Kirby',"
Comedy, Drama, Romance            "
365,365,Blade Runner 2049,2017,164 min,8.0,81        ,"518,398",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,'Harrison Ford' 'Ryan Gosling' 'Ana de Armas' 'Dave Bautista',"
Action, Drama, Sci-Fi            "
363,363,The Imitation Game,2014,114 min,8.0,71        ,"726,892",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",Morten Tyldum,'Benedict Cumberbatch' 'Keira Knightley' 'Matthew Goode' 'Allen Leech',"
Biography, Drama, Thriller            "
528,528,Mystic River,2003,138 min,7.9,84        ,"441,092",$90.14M,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,Clint Eastwood,'Sean Penn' 'Tim Robbins' 'Kevin Bacon' 'Emmy Rossum',"
Crime, Drama, Mystery            "
557,557,Brazil,1985,132 min,7.9,84        ,"196,116",$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,Terry Gilliam,'Jonathan Pryce' 'Kim Greist' 'Robert De Niro' 'Katherine Helmond',"
Drama, Sci-Fi            "
323,323,On the Waterfront,1954,108 min,8.1,91        ,"149,808",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Elia Kazan,'Marlon Brando' 'Karl Malden' 'Lee J. Cobb' 'Rod Steiger',"
Crime, Drama, Thriller            "
335,335,Mr. Smith Goes to Washington,1939,129 min,8.1,73        ,"112,351",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Frank Capra,'James Stewart' 'Jean Arthur' 'Claude Rains' 'Edward Arnold',"
Comedy, Drama            "
588,588,The Lost Weekend,1945,101 min,7.9,****,"35,736",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Billy Wilder,'Ray Milland' 'Jane Wyman' 'Phillip Terry' 'Howard Da Silva',"
Drama, Film-Noir            "
470,470,High Noon,1952,85 min,8.0,89        ,"101,591",$9.45M,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",Fred Zinnemann,'Gary Cooper' 'Grace Kelly' 'Thomas Mitchell' 'Lloyd Bridges',"
Drama, Thriller, Western            "
649,649,Once,I 2007,86 min,7.8,88        ,"114,203",$9.44M,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",John Carney,'Glen Hansard' 'Markéta Irglová' 'Hugh Walsh' 'Gerard Hendrick',"
Drama, Music, Romance            "
532,532,Hable con ella,2002,112 min,7.9,86        ,"109,517",$9.28M,Two men share an odd friendship while they care for two women who are both in deep comas.,Pedro Almodóvar,'Rosario Flores' 'Javier Cámara' 'Darío Grandinetti' 'Leonor Watling',"
Drama, Mystery, Romance            "
852,852,What's Eating Gilbert Grape,1993,118 min,7.7,73        ,"227,582",$9.17M,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Lasse Hallström,'Johnny Depp' 'Leonardo DiCaprio' 'Juliette Lewis' 'Mary Steenburgen',"
Drama            "
648,648,The Boy in the Striped Pyjamas,2008,94 min,7.8,55        ,"205,311",$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Mark Herman,"'Asa Butterfield' 'David Thewlis' 'Rupert Friend' ""Zac Mattoon O'Brien""","
Drama, History, War            "
948,948,Inside Man,2006,129 min,7.6,76        ,"357,410",$88.51M,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Spike Lee,'Denzel Washington' 'Clive Owen' 'Jodie Foster' 'Christopher Plummer',"
Crime, Drama, Mystery            "
440,440,Young Frankenstein,1974,106 min,8.0,80        ,"153,056",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Mel Brooks,'Gene Wilder' 'Madeline Kahn' 'Marty Feldman' 'Peter Boyle',"
Comedy            "
66,66,Avengers: Endgame,2019,181 min,8.4,78        ,"971,718",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Directors:Anthony Russo, Joe Russo",'Robert Downey Jr.' 'Chris Evans' 'Mark Ruffalo' 'Chris Hemsworth',"
Action, Adventure, Drama            "
113,113,Aliens,1986,137 min,8.3,84        ,"685,939",$85.16M,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",James Cameron,'Sigourney Weaver' 'Michael Biehn' 'Carrie Henn' 'Paul Reiser',"
Action, Adventure, Sci-Fi            "
136,136,Green Book,2018,130 min,8.2,69        ,"437,875",$85.08M,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,'Viggo Mortensen' 'Mahershala Ali' 'Linda Cardellini' 'Sebastian Maniscalco',"
Biography, Comedy, Drama            "
80,80,Apocalypse Now,1979,147 min,8.4,94        ,"636,965",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,'Martin Sheen' 'Marlon Brando' 'Robert Duvall' 'Frederic Forrest',"
Drama, Mystery, War            "
880,880,Airplane!,1980,88 min,7.7,78        ,"227,060",$83.40M,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,"Directors:Jim Abrahams, David Zucker, Jerry Zucker",'Robert Hays' 'Julie Hagerty' 'Leslie Nielsen' 'Kareem Abdul-Jabbar',"
Comedy            "
802,802,Brokeback Mountain,2005,134 min,7.7,87        ,"342,204",$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,Ang Lee,'Jake Gyllenhaal' 'Heath Ledger' 'Michelle Williams' 'Randy Quaid',"
Drama, Romance            "
178,178,Die Hard,1988,132 min,8.2,72        ,"830,879",$83.01M,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,'Bruce Willis' 'Alan Rickman' 'Bonnie Bedelia' 'Reginald VelJohnson',"
Action, Thriller            "
862,862,Fried Green Tomatoes,1991,130 min,7.7,64        ,"71,721",$82.42M,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Jon Avnet,'Kathy Bates' 'Jessica Tandy' 'Mary Stuart Masterson' 'Mary-Louise Parker',"
Drama            "
669,669,The Notebook,2004,123 min,7.8,53        ,"546,223",$81.00M,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",Nick Cassavetes,'Gena Rowlands' 'James Garner' 'Rachel McAdams' 'Ryan Gosling',"
Drama, Romance            "
446,446,Fiddler on the Roof,1971,181 min,8.0,67        ,"41,925",$80.50M,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village.",Norman Jewison,'Topol' 'Norma Crane' 'Leonard Frey' 'Molly Picon',"
Drama, Family, Musical            "
127,127,Singin' in the Rain,1952,103 min,8.3,99        ,"231,167",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Directors:Stanley Donen, Gene Kelly","'Gene Kelly' ""Donald O'Connor"" 'Debbie Reynolds' 'Jean Hagen'","
Comedy, Musical, Romance            "
872,872,Blue Velvet,1986,120 min,7.7,76        ,"191,198",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",David Lynch,'Isabella Rossellini' 'Kyle MacLachlan' 'Dennis Hopper' 'Laura Dern',"
Crime, Drama, Mystery            "
186,186,Chinatown,1974,130 min,8.2,92        ,"312,742",$8.49M,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,'Jack Nicholson' 'Faye Dunaway' 'John Huston' 'Perry Lopez',"
Drama, Mystery, Thriller            "
458,458,The Hustler,1961,134 min,8.0,90        ,"79,905",$8.28M,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Robert Rossen,'Paul Newman' 'Jackie Gleason' 'Piper Laurie' 'George C. Scott',"
Drama, Sport            "
538,538,Todo sobre mi madre,1999,101 min,7.9,87        ,"93,732",$8.26M,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",Pedro Almodóvar,'Cecilia Roth' 'Marisa Paredes' 'Candela Peña' 'Antonia San Juan',"
Drama            "
84,84,Witness for the Prosecution,1957,116 min,8.4,****,"118,162",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,'Tyrone Power' 'Marlene Dietrich' 'Charles Laughton' 'Elsa Lanchester',"
Crime, Drama, Mystery            "
351,351,Bajrangi Bhaijaan,2015,163 min,8.0,****,"82,379",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,'Salman Khan' 'Harshaali Malhotra' 'Nawazuddin Siddiqui' 'Kareena Kapoor',"
Action, Adventure, Comedy            "
500,500,Before Midnight,2013,109 min,7.9,94        ,"150,456",$8.11M,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,Richard Linklater,'Ethan Hawke' 'Julie Delpy' 'Seamus Davey-Fitzpatrick' 'Ariane Labed',"
Drama, Romance            "
471,471,A Streetcar Named Desire,1951,122 min,8.0,97        ,"104,892",$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Elia Kazan,'Vivien Leigh' 'Marlon Brando' 'Kim Hunter' 'Karl Malden',"
Drama            "
877,877,Star Trek II: The Wrath of Khan,1982,113 min,7.7,67        ,"117,543",$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",Nicholas Meyer,'William Shatner' 'Leonard Nimoy' 'DeForest Kelley' 'James Doohan',"
Action, Adventure, Sci-Fi            "
81,81,Alien,1979,117 min,8.4,89        ,"833,710",$78.90M,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Ridley Scott,'Sigourney Weaver' 'Tom Skerritt' 'John Hurt' 'Veronica Cartwright',"
Horror, Sci-Fi            "
981,981,The Naked Gun: From the Files of Police Squad!,1988,85 min,7.6,76        ,"162,062",$78.76M,Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.,David Zucker,'Leslie Nielsen' 'Priscilla Presley' 'O.J. Simpson' 'Ricardo Montalban',"
Comedy, Crime            "
811,811,Man on Fire,2004,146 min,7.7,47        ,"348,899",$77.91M,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Tony Scott,'Denzel Washington' 'Christopher Walken' 'Dakota Fanning' 'Radha Mitchell',"
Action, Crime, Drama            "
854,854,Philadelphia,1993,125 min,7.7,66        ,"233,946",$77.32M,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Jonathan Demme,'Tom Hanks' 'Denzel Washington' 'Roberta Maxwell' 'Buzz Kilman',"
Drama            "
655,655,Avatar,2009,162 min,7.8,83        ,"1,167,560",$760.51M,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,'Sam Worthington' 'Zoe Saldana' 'Sigourney Weaver' 'Michelle Rodriguez',"
Action, Adventure, Fantasy            "
832,832,Training Day,2001,122 min,7.7,69        ,"414,136",$76.63M,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,Antoine Fuqua,'Denzel Washington' 'Ethan Hawke' 'Scott Glenn' 'Tom Berenger',"
Crime, Drama, Thriller            "
909,909,Fantasia,1940,125 min,7.7,96        ,"92,786",$76.41M,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.","Directors:James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen",'Leopold Stokowski' 'Deems Taylor' 'The Philadelphia Orchestra' 'Corey Burton',"
Animation, Family, Fantasy            "
555,555,The Untouchables,1987,119 min,7.9,79        ,"297,555",$76.27M,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",Brian De Palma,'Kevin Costner' 'Sean Connery' 'Robert De Niro' 'Charles Martin Smith',"
Crime, Drama, Thriller            "
938,938,Moneyball,2011,133 min,7.6,87        ,"397,760",$75.61M,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Bennett Miller,'Brad Pitt' 'Robin Wright' 'Jonah Hill' 'Philip Seymour Hoffman',"
Biography, Drama, Sport            "
109,109,Braveheart,1995,178 min,8.3,68        ,"996,815",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,'Mel Gibson' 'Sophie Marceau' 'Patrick McGoohan' 'Angus Macfadyen',"
Biography, Drama, History            "
940,940,Zombieland,2009,88 min,7.6,73        ,"548,290",$75.59M,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.",Ruben Fleischer,'Jesse Eisenberg' 'Emma Stone' 'Woody Harrelson' 'Abigail Breslin',"
Action, Comedy, Horror            "
857,857,The Last of the Mohicans,1992,112 min,7.7,76        ,"161,675",$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Michael Mann,'Daniel Day-Lewis' 'Madeleine Stowe' 'Russell Means' 'Eric Schweig',"
Action, Adventure, Drama            "
808,808,Ray,I 2004,152 min,7.7,73        ,"143,921",$75.33M,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",Taylor Hackford,'Jamie Foxx' 'Regina King' 'Kerry Washington' 'Clifton Powell',"
Biography, Drama, Music            "
812,812,Coraline,2009,100 min,7.7,80        ,"212,880",$75.29M,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Henry Selick,'Dakota Fanning' 'Teri Hatcher' 'John Hodgman' 'Jennifer Saunders',"
Animation, Drama, Family            "
416,416,The Nightmare Before Christmas,1993,76 min,8.0,82        ,"319,511",$75.08M,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,"'Danny Elfman' 'Chris Sarandon' ""Catherine O'Hara"" 'William Hickey'","
Animation, Family, Fantasy            "
317,317,Ben-Hur,1959,212 min,8.1,90        ,"230,470",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",William Wyler,'Charlton Heston' 'Jack Hawkins' 'Stephen Boyd' 'Haya Harareet',"
Adventure, Drama, History            "
244,244,No Country for Old Men,2007,122 min,8.1,91        ,"913,840",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Directors:Ethan Coen, Joel Coen",'Tommy Lee Jones' 'Javier Bardem' 'Josh Brolin' 'Woody Harrelson',"
Crime, Drama, Thriller            "
387,387,Sin City,2005,124 min,8.0,74        ,"753,066",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.","Directors:Frank Miller, Quentin Tarantino, Robert Rodriguez",'Mickey Rourke' 'Clive Owen' 'Bruce Willis' 'Jessica Alba',"
Crime, Thriller            "
728,728,My Fair Lady,1964,170 min,7.8,95        ,"91,771",$72.00M,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl Eliza Doolittle presentable in high society.",George Cukor,'Audrey Hepburn' 'Rex Harrison' 'Stanley Holloway' 'Wilfrid Hyde-White',"
Drama, Family, Musical            "
973,973,The Bridges of Madison County,1995,135 min,7.6,69        ,"78,116",$71.52M,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Clint Eastwood,'Clint Eastwood' 'Meryl Streep' 'Annie Corley' 'Victor Slezak',"
Drama, Romance            "
417,417,Groundhog Day,1993,101 min,8.0,72        ,"600,031",$70.91M,A self-centered Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.,Harold Ramis,'Bill Murray' 'Andie MacDowell' 'Chris Elliott' 'Stephen Tobolowsky',"
Comedy, Fantasy, Romance            "
437,437,All the President's Men,1976,138 min,8.0,84        ,"110,753",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",Alan J. Pakula,'Dustin Hoffman' 'Robert Redford' 'Jack Warden' 'Martin Balsam',"
Drama, History, Thriller            "
246,246,V for Vendetta,2005,132 min,8.1,62        ,"1,078,320",$70.51M,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V,"" plots to overthrow it with the help of a young woman.",James McTeigue,'Hugo Weaving' 'Natalie Portman' 'Rupert Graves' 'Stephen Rea',"
Action, Drama, Sci-Fi            "
421,421,JFK,1991,189 min,8.0,72        ,"150,069",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Oliver Stone,'Kevin Costner' 'Gary Oldman' 'Jack Lemmon' 'Walter Matthau',"
Drama, History, Thriller            "
630,630,The Big Short,2015,130 min,7.8,81        ,"397,649",$70.26M,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.",Adam McKay,'Christian Bale' 'Steve Carell' 'Ryan Gosling' 'Brad Pitt',"
Biography, Comedy, Drama            "
704,704,Ferris Bueller's Day Off,1986,103 min,7.8,61        ,"339,697",$70.14M,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",John Hughes,'Matthew Broderick' 'Alan Ruck' 'Mia Sara' 'Jeffrey Jones',"
Comedy            "
255,255,Kill Bill: Vol. 1,2003,111 min,8.1,69        ,"1,058,437",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,'Uma Thurman' 'David Carradine' 'Daryl Hannah' 'Michael Madsen',"
Action, Crime, Drama            "
976,976,Dazed and Confused,1993,102 min,7.6,78        ,"175,954",$7.99M,The adventures of high school and junior high students on the last day of school in May 1976.,Richard Linklater,'Jason London' 'Wiley Wiggins' 'Matthew McConaughey' 'Rory Cochrane',"
Comedy            "
516,516,In Bruges,2008,107 min,7.9,67        ,"406,690",$7.76M,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",Martin McDonagh,'Colin Farrell' 'Brendan Gleeson' 'Ciarán Hinds' 'Elizabeth Berrington',"
Comedy, Crime, Drama            "
472,472,Strangers on a Train,1951,101 min,8.0,88        ,"130,363",$7.63M,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,Alfred Hitchcock,'Farley Granger' 'Robert Walker' 'Ruth Roman' 'Leo G. Carroll',"
Crime, Drama, Film-Noir            "
26,26,Cidade de Deus,2002,130 min,8.6,79        ,"728,018",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Directors:Fernando Meirelles, Kátia Lund",'Alexandre Rodrigues' 'Leandro Firmino' 'Matheus Nachtergaele' 'Phellipe Haagensen',"
Crime, Drama            "
833,833,Lola rennt,1998,81 min,7.7,77        ,"194,858",$7.27M,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",Tom Tykwer,'Franka Potente' 'Moritz Bleibtreu' 'Herbert Knaup' 'Nina Petri',"
Crime, Drama, Thriller            "
540,540,Mulholland Dr.,2001,147 min,7.9,85        ,"341,207",$7.22M,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",David Lynch,'Naomi Watts' 'Laura Harring' 'Justin Theroux' 'Jeanne Bates',"
Drama, Mystery, Thriller            "
870,870,Der Name der Rose,1986,130 min,7.7,54        ,"105,933",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,Jean-Jacques Annaud,'Sean Connery' 'Christian Slater' 'Helmut Qualtinger' 'Elya Baskin',"
Drama, Mystery, Thriller            "
97,97,Jodaeiye Nader az Simin,2011,123 min,8.3,95        ,"234,367",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,'Payman Maadi' 'Leila Hatami' 'Sareh Bayat' 'Shahab Hosseini',"
Drama            "
889,889,Deliverance,1972,109 min,7.7,80        ,"104,488",$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",John Boorman,'Jon Voight' 'Burt Reynolds' 'Ned Beatty' 'Ronny Cox',"
Adventure, Drama, Thriller            "
672,672,Les triplettes de Belleville,2003,80 min,7.8,91        ,"53,502",$7.00M,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",Sylvain Chomet,'Michèle Caucheteux' 'Jean-Claude Donda' 'Michel Robin' 'Monica Viegas',"
Animation, Comedy, Drama            "
636,636,The Irishman,2019,209 min,7.8,94        ,"358,109",$7.00M,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,Martin Scorsese,'Robert De Niro' 'Al Pacino' 'Joe Pesci' 'Harvey Keitel',"
Biography, Crime, Drama            "
944,944,Seven Pounds,2008,123 min,7.6,36        ,"295,834",$69.95M,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Gabriele Muccino,'Will Smith' 'Rosario Dawson' 'Woody Harrelson' 'Michael Ealy',"
Drama            "
67,67,Avengers: Infinity War,2018,149 min,8.4,68        ,"949,489",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Directors:Anthony Russo, Joe Russo",'Robert Downey Jr.' 'Chris Hemsworth' 'Mark Ruffalo' 'Chris Evans',"
Action, Adventure, Sci-Fi            "
173,173,Heat,1995,170 min,8.2,76        ,"616,680",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,'Al Pacino' 'Robert De Niro' 'Val Kilmer' 'Jon Voight',"
Action, Crime, Drama            "
222,222,Hacksaw Ridge,2016,139 min,8.1,71        ,"477,473",$67.21M,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,'Andrew Garfield' 'Sam Worthington' 'Luke Bracey' 'Teresa Palmer',"
Biography, Drama, History            "
400,400,Big Fish,2003,125 min,8.0,58        ,"429,929",$66.26M,A frustrated son tries to determine the fact from fiction in his dying father's life.,Tim Burton,'Ewan McGregor' 'Albert Finney' 'Billy Crudup' 'Jessica Lange',"
Adventure, Drama, Fantasy            "
393,393,Kill Bill: Vol. 2,2004,137 min,8.0,83        ,"721,428",$66.21M,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,'Uma Thurman' 'David Carradine' 'Michael Madsen' 'Daryl Hannah',"
Action, Crime, Thriller            "
680,680,Titanic,1997,194 min,7.8,75        ,"1,108,094",$659.33M,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",James Cameron,'Leonardo DiCaprio' 'Kate Winslet' 'Billy Zane' 'Kathy Bates',"
Drama, Romance            "
983,983,Lethal Weapon,1987,109 min,7.6,68        ,"248,631",$65.21M,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,Richard Donner,'Mel Gibson' 'Danny Glover' 'Gary Busey' 'Mitchell Ryan',"
Action, Crime, Thriller            "
171,171,L.A. Confidential,1997,138 min,8.2,90        ,"558,511",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,'Kevin Spacey' 'Russell Crowe' 'Guy Pearce' 'Kim Basinger',"
Crime, Drama, Mystery            "
419,419,Scent of a Woman,1992,156 min,8.0,59        ,"282,037",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Martin Brest,"'Al Pacino' ""Chris O'Donnell"" 'James Rebhorn' 'Gabrielle Anwar'","
Drama            "
